plint_table.id,plint_table.root,plint_table.parent,plint_table.title,plint_table.numeration_start_1,plint_table.come_from,plint_table.common_data,plint_table.modified_on,plint_table.modified_by,plint_table.pair_id_1,plint_table.loopback_id_1,plint_table.crossed_to_plint_id_1,plint_table.crossed_to_pair_id_1,plint_table.modified_on_id_1,plint_table.modified_by_id_1,plint_table.pair_id_2,plint_table.loopback_id_2,plint_table.crossed_to_plint_id_2,plint_table.crossed_to_pair_id_2,plint_table.modified_on_id_2,plint_table.modified_by_id_2,plint_table.pair_id_3,plint_table.loopback_id_3,plint_table.crossed_to_plint_id_3,plint_table.crossed_to_pair_id_3,plint_table.modified_on_id_3,plint_table.modified_by_id_3,plint_table.pair_id_4,plint_table.loopback_id_4,plint_table.crossed_to_plint_id_4,plint_table.crossed_to_pair_id_4,plint_table.modified_on_id_4,plint_table.modified_by_id_4,plint_table.pair_id_5,plint_table.loopback_id_5,plint_table.crossed_to_plint_id_5,plint_table.crossed_to_pair_id_5,plint_table.modified_on_id_5,plint_table.modified_by_id_5,plint_table.pair_id_6,plint_table.loopback_id_6,plint_table.crossed_to_plint_id_6,plint_table.crossed_to_pair_id_6,plint_table.modified_on_id_6,plint_table.modified_by_id_6,plint_table.pair_id_7,plint_table.loopback_id_7,plint_table.crossed_to_plint_id_7,plint_table.crossed_to_pair_id_7,plint_table.modified_on_id_7,plint_table.modified_by_id_7,plint_table.pair_id_8,plint_table.loopback_id_8,plint_table.crossed_to_plint_id_8,plint_table.crossed_to_pair_id_8,plint_table.modified_on_id_8,plint_table.modified_by_id_8,plint_table.pair_id_9,plint_table.loopback_id_9,plint_table.crossed_to_plint_id_9,plint_table.crossed_to_pair_id_9,plint_table.modified_on_id_9,plint_table.modified_by_id_9,plint_table.pair_id_10,plint_table.loopback_id_10,plint_table.crossed_to_plint_id_10,plint_table.crossed_to_pair_id_10,plint_table.modified_on_id_10,plint_table.modified_by_id_10
,1,1,1,False,,,2014-11-12,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1
,1,1,2,False,,,2014-11-12,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1
,1,1,3,False,,,2014-11-12,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1
,1,1,4,False,,,2014-11-12,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1
,1,1,5,False,,,2014-11-12,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1
,1,1,6,False,,,2014-11-12,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1
,1,1,7,False,,,2014-11-12,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1
,1,1,8,False,,,2014-11-12,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1
,1,1,9,False,,,2014-11-12,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1
,1,1,10,False,,,2014-11-12,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1,,False,,,2015-03-03,1
